accession,description,length,raw Ns,raw Ns %,masked Ns,masked Ns %,vsl-25 Ns,vsl-25 Ns %,masked vsl-25 Ns,masked vsl-25 Ns %,RM vsl-25 missed Ns,RM vsl-25 missed Ns %
NZ_CP011574.1,Klebsiella aerogenes strain CAV1320 chromosome  complete genome,5124987,0,0,29303,.57,1005,.01,29916,.58,613,.01
NZ_CP011591.1,Enterobacter asburiae strain CAV1043 chromosome  complete genome,4753402,0,0,26135,.54,932,.01,26772,.56,637,.01
NZ_CP011602.1,Phytobacter ursingii strain CAV1151 chromosome  complete genome,5529134,0,0,26631,.48,1373,.02,27587,.49,956,.01
NZ_CP011642.1,Serratia marcescens strain CAV1492 chromosome  complete genome,5477084,0,0,44603,.81,1575,.02,45191,.82,588,.01
NZ_CP011657.1,Citrobacter freundii strain CAV1741 chromosome  complete genome,5029496,0,0,24747,.49,1274,.02,25482,.50,735,.01
NZ_CP011662.1,Enterobacter hormaechei strain CAV1176 chromosome  complete genome,4878509,0,0,24894,.51,784,.01,25482,.52,588,.01
NZ_CP011685.1,Staphylococcus aureus strain ZJ5499 chromosome  complete genome,2848095,0,0,22360,.78,3518,.12,25325,.88,2965,.10
NZ_CP011686.1,Bacillus velezensis strain G341 chromosome  complete genome,4009746,0,0,21377,.53,1912,.04,22823,.56,1446,.03
NZ_CP011687.1,Bordetella pertussis strain C505 chromosome  complete genome,4103277,0,0,75022,1.82,1154,.02,75709,1.84,687,.01
NZ_CP011688.1,Bordetella pertussis strain C742 chromosome  complete genome,4103249,0,0,75061,1.82,1031,.02,75674,1.84,613,.01
NZ_CP011689.1,Bordetella pertussis strain D175 chromosome  complete genome,4108515,0,0,74909,1.82,956,.02,75497,1.83,588,.01
NZ_CP011690.1,Bordetella pertussis strain D321 chromosome  complete genome,4104176,0,0,75022,1.82,1129,.02,75684,1.84,662,.01
NZ_CP011691.1,Bordetella pertussis strain D502 chromosome  complete genome,4101167,0,0,73730,1.79,883,.02,74245,1.81,515,.01
NZ_CP011692.1,Bordetella pertussis strain E024 chromosome  complete genome,4101131,0,0,73756,1.79,1129,.02,74369,1.81,613,.01
NZ_CP011693.1,Bordetella pertussis strain E530 chromosome  complete genome,4106392,0,0,74423,1.81,1129,.02,75082,1.82,659,.01
NZ_CP011694.1,Bordetella pertussis strain H346 chromosome  complete genome,4110608,0,0,75068,1.82,1078,.02,75701,1.84,633,.01
NZ_CP011695.1,Bordetella pertussis strain H437 chromosome  complete genome,4105342,0,0,74979,1.82,957,.02,75589,1.84,610,.01
NZ_CP011696.1,Bordetella pertussis strain H762 chromosome  complete genome,4105337,0,0,75344,1.83,1103,.02,75930,1.84,586,.01
NZ_CP011697.1,Bordetella pertussis strain H763 chromosome  complete genome,4110595,0,0,73812,1.79,1031,.02,74327,1.80,515,.01
NZ_CP011698.1,Bordetella pertussis strain H764 chromosome  complete genome,4105334,0,0,75344,1.83,1030,.02,75928,1.84,584,.01
NZ_CP011699.1,Bordetella pertussis strain H766 chromosome  complete genome,4104260,0,0,73771,1.79,1178,.02,74384,1.81,613,.01
NZ_CP011700.1,Bordetella pertussis strain H768 chromosome  complete genome,4106385,0,0,75210,1.83,1005,.02,75697,1.84,487,.01
NZ_CP011701.1,Bordetella pertussis strain H773 chromosome  complete genome,4111638,0,0,74428,1.81,1031,.02,75041,1.82,613,.01
NZ_CP011702.1,Bordetella pertussis strain H775 chromosome  complete genome,4106491,0,0,75598,1.84,1103,.02,76284,1.85,686,.01
NZ_CP011703.1,Bordetella pertussis strain H779 chromosome  complete genome,4106294,0,0,75194,1.83,1054,.02,75880,1.84,686,.01
NZ_CP011704.1,Bordetella pertussis strain H787 chromosome  complete genome,4108479,0,0,74985,1.82,1201,.02,75794,1.84,809,.01
NZ_CP011705.1,Bordetella pertussis strain H842 chromosome  complete genome,4111642,0,0,74372,1.80,1154,.02,75034,1.82,662,.01
NZ_CP011706.1,Bordetella pertussis strain H847 chromosome  complete genome,4103252,0,0,74352,1.81,1128,.02,75087,1.82,735,.01
NZ_CP011707.1,Bordetella pertussis strain H849 chromosome  complete genome,4103204,0,0,73773,1.79,1227,.02,74453,1.81,680,.01
NZ_CP011708.1,Bordetella pertussis strain H853 chromosome  complete genome,4109537,0,0,74324,1.80,1031,.02,74986,1.82,662,.01
NZ_CP011709.1,Bordetella pertussis strain H864 chromosome  complete genome,4106500,0,0,75630,1.84,1006,.02,76290,1.85,660,.01
NZ_CP011710.1,Bordetella pertussis strain H866 chromosome  complete genome,4111644,0,0,74425,1.81,982,.02,75038,1.82,613,.01
NZ_CP011711.1,Bordetella pertussis strain H878 chromosome  complete genome,4106327,0,0,75549,1.83,1250,.03,76333,1.85,784,.01
NZ_CP011712.1,Bordetella pertussis strain H883 chromosome  complete genome,4109547,0,0,74424,1.81,1129,.02,75086,1.82,662,.01
NZ_CP011713.1,Bordetella pertussis strain H884 chromosome  complete genome,4109547,0,0,74422,1.81,1129,.02,75084,1.82,662,.01
NZ_CP011714.1,Bordetella pertussis strain H910 chromosome  complete genome,4110589,0,0,74329,1.80,1129,.02,75015,1.82,686,.01
NZ_CP011715.1,Bordetella pertussis strain I069 chromosome  complete genome,4109549,0,0,74430,1.81,1079,.02,75116,1.82,686,.01
NZ_CP011716.1,Bordetella pertussis strain I088 chromosome  complete genome,4112692,0,0,74430,1.80,1203,.02,75141,1.82,711,.01
NZ_CP011717.1,Bordetella pertussis strain I089 chromosome  complete genome,4110588,0,0,74656,1.81,1055,.02,75265,1.83,609,.01
NZ_CP011718.1,Bordetella pertussis strain I110 chromosome  complete genome,4111608,0,0,75120,1.82,1005,.02,75708,1.84,588,.01
NZ_CP011719.1,Bordetella pertussis strain I111 chromosome  complete genome,4106381,0,0,75355,1.83,1054,.02,75939,1.84,584,.01
NZ_CP011720.1,Bordetella pertussis strain I113 chromosome  complete genome,4103237,0,0,73798,1.79,1152,.02,74435,1.81,637,.01
NZ_CP011721.1,Bordetella pertussis strain I127 chromosome  complete genome,4103220,0,0,74504,1.81,1078,.02,75239,1.83,735,.01
NZ_CP011722.1,Bordetella pertussis strain I135 chromosome  complete genome,4109544,0,0,74424,1.81,1031,.02,75037,1.82,613,.01
NZ_CP011723.1,Bordetella pertussis strain I136 chromosome  complete genome,4107454,0,0,74354,1.81,1006,.02,74938,1.82,584,.01
NZ_CP011724.1,Bordetella pertussis strain I257 chromosome  complete genome,4104251,0,0,73751,1.79,1202,.02,74413,1.81,662,.01
NZ_CP011725.1,Bordetella pertussis strain I263 chromosome  complete genome,4104253,0,0,73773,1.79,1129,.02,74355,1.81,582,.01
NZ_CP011726.1,Bordetella pertussis strain I270 chromosome  complete genome,4103217,0,0,73690,1.79,933,.02,74205,1.80,515,.01
NZ_CP011727.1,Bordetella pertussis strain I271 chromosome  complete genome,4109543,0,0,73835,1.79,1129,.02,74497,1.81,662,.01
NZ_CP011728.1,Bordetella pertussis strain I273 chromosome  complete genome,4110433,0,0,74518,1.81,1103,.02,75155,1.82,637,.01
NZ_CP011729.1,Bordetella pertussis strain I289 chromosome  complete genome,4106397,0,0,74361,1.81,1080,.02,74974,1.82,613,.01
NZ_CP011730.1,Bordetella pertussis strain I315 chromosome  complete genome,4108498,0,0,74424,1.81,1227,.02,75135,1.82,711,.01
NZ_CP011732.1,Bordetella pertussis strain I331 chromosome  complete genome,4104202,0,0,73452,1.78,1104,.02,74163,1.80,711,.01
NZ_CP011733.1,Bordetella pertussis strain I350 chromosome  complete genome,4107435,0,0,75376,1.83,1103,.02,75962,1.84,586,.01
NZ_CP011734.1,Bordetella pertussis strain I375 chromosome  complete genome,4113693,0,0,75070,1.82,1153,.02,75732,1.84,662,.01
NZ_CP011735.1,Bordetella pertussis strain I379 chromosome  complete genome,4104294,0,0,75344,1.83,981,.02,75883,1.84,539,.01
NZ_CP011736.1,Bordetella pertussis strain I380 chromosome  complete genome,4091930,0,0,74239,1.81,1055,.02,74901,1.83,662,.01
NZ_CP011737.1,Bordetella pertussis strain I382 chromosome  complete genome,4110505,0,0,75396,1.83,1128,.02,76003,1.84,607,.01
NZ_CP011738.1,Bordetella pertussis strain I386 chromosome  complete genome,4104275,0,0,75027,1.82,1030,.02,75640,1.84,613,.01
NZ_CP011739.1,Bordetella pertussis strain I452 chromosome  complete genome,4109548,0,0,74770,1.81,1080,.02,75383,1.83,613,.01
NZ_CP011740.1,Bordetella pertussis strain I461 chromosome  complete genome,4106406,0,0,75344,1.83,1177,.02,75999,1.85,655,.01
NZ_CP011741.1,Bordetella pertussis strain I728 chromosome  complete genome,4107398,0,0,75170,1.83,982,.02,75734,1.84,564,.01
NZ_CP011742.1,Bordetella pertussis strain I735 chromosome  complete genome,4105343,0,0,75356,1.83,933,.02,75797,1.84,441,.01
NZ_CP011743.1,Bordetella pertussis strain I754 chromosome  complete genome,4109174,0,0,75344,1.83,1104,.02,75908,1.84,564,.01
NZ_CP011744.1,Bordetella pertussis strain I755 chromosome  complete genome,4111653,0,0,74478,1.81,1202,.02,75208,1.82,730,.01
NZ_CP011745.1,Bordetella pertussis strain I762 chromosome  complete genome,4110592,0,0,74423,1.81,1130,.02,75036,1.82,613,.01
NZ_CP011746.1,Bordetella pertussis strain I959 chromosome  complete genome,4104353,0,0,75934,1.85,1103,.02,76571,1.86,637,.01
NZ_CP011747.1,Bordetella pertussis strain I965 chromosome  complete genome,4108598,0,0,75630,1.84,1054,.02,76316,1.85,686,.01
NZ_CP011748.1,Bordetella pertussis strain I968 chromosome  complete genome,4107604,0,0,74146,1.80,1055,.02,74734,1.81,588,.01
NZ_CP011749.1,Bordetella pertussis strain I977 chromosome  complete genome,4111640,0,0,73756,1.79,1080,.02,74320,1.80,564,.01
NZ_CP011750.1,Bordetella pertussis strain I978 chromosome  complete genome,4110591,0,0,74469,1.81,1031,.02,75033,1.82,564,.01
NZ_CP011751.1,Bordetella pertussis strain J012 chromosome  complete genome,4110595,0,0,74424,1.81,1056,.02,74988,1.82,564,.01
NZ_CP011752.1,Bordetella pertussis strain J016 chromosome  complete genome,4103226,0,0,73756,1.79,1079,.02,74369,1.81,613,.01
NZ_CP011753.1,Bordetella pertussis strain J019 chromosome  complete genome,4107558,0,0,75339,1.83,1079,.02,76001,1.85,662,.01
NZ_CP011754.1,Bordetella pertussis strain J021 chromosome  complete genome,4106673,0,0,74422,1.81,1080,.02,75084,1.82,662,.01
NZ_CP011755.1,Bordetella pertussis strain J023 chromosome  complete genome,4106503,0,0,75760,1.84,1030,.02,76422,1.86,662,.01
NZ_CP011756.1,Bordetella pertussis strain J027 chromosome  complete genome,4109543,0,0,74371,1.80,1007,.02,74954,1.82,583,.01
NZ_CP011757.1,Bordetella pertussis strain J030 chromosome  complete genome,4105288,0,0,75269,1.83,1128,.02,75906,1.84,637,.01
NZ_CP011758.1,Bordetella pertussis strain J039 chromosome  complete genome,4107448,0,0,75344,1.83,1202,.02,75981,1.84,637,.01
NZ_CP011759.1,Bordetella pertussis strain J068 chromosome  complete genome,4107434,0,0,75344,1.83,1202,.02,75999,1.85,655,.01
NZ_CP011760.1,Bordetella pertussis strain J072 chromosome  complete genome,4113747,0,0,74461,1.81,1080,.02,75123,1.82,662,.01
NZ_CP011761.1,Bordetella pertussis strain J073 chromosome  complete genome,4112724,0,0,74440,1.80,1080,.02,75053,1.82,613,.01
NZ_CP011762.1,Bordetella pertussis strain J076 chromosome  complete genome,4105464,0,0,75685,1.84,1103,.02,76371,1.86,686,.01
NZ_CP011763.1,Bordetella pertussis strain J090 chromosome  complete genome,4106346,0,0,75343,1.83,981,.02,75882,1.84,539,.01
NZ_CP011764.1,Bordetella pertussis strain J091 chromosome  complete genome,4106381,0,0,75355,1.83,1005,.02,75890,1.84,535,.01
NZ_CP011766.1,Bordetella pertussis strain J100 chromosome  complete genome,4109710,0,0,75407,1.83,1103,.02,76043,1.85,636,.01
NZ_CP011767.1,Bordetella pertussis strain J110 chromosome  complete genome,4106384,0,0,75344,1.83,1201,.02,76026,1.85,682,.01
NZ_CP011768.1,Bordetella pertussis strain J115 chromosome  complete genome,4106397,0,0,75086,1.82,1177,.02,75772,1.84,686,.01
NZ_CP011773.1,Mycobacterium sp. EPa45 chromosome  complete genome,6177406,0,0,46674,.75,1474,.02,47309,.76,635,.01
NZ_CP011774.1,Limnohabitans sp. 63ED37-2 chromosome  complete genome,3372992,0,0,18465,.54,858,.02,19078,.56,613,.01
NZ_CP011786.1,Bifidobacterium actinocoloniiforme DSM 22766 chromosome  complete genome,1830060,0,0,13402,.73,417,.02,13770,.75,368,.02
NZ_CP011789.1,Pseudomonas putida strain PC2 chromosome  complete genome,5808624,0,0,32996,.56,1079,.01,33780,.58,784,.01
NZ_CP011790.1,Salmonella enterica subsp. enterica serovar Enteritidis strain SEE1 chromosome  complete genome,4678365,0,0,22962,.49,1226,.02,23918,.51,956,.02
NZ_CP011791.1,Salmonella enterica subsp. enterica serovar Enteritidis strain SEE2 chromosome  complete genome,4677830,0,0,22953,.49,1275,.02,23982,.51,1029,.02
NZ_CP011797.1,Reinekea forsetii strain Hel1 31 D35 chromosome  complete genome,3660060,0,0,16621,.45,1524,.04,17013,.46,392,.01
NZ_CP011798.1,Enterobacter ludwigii strain UW5 chromosome  complete genome,4904981,0,0,25025,.51,491,.01,25417,.51,392,0
NZ_CP011801.1,Nitrospira moscoviensis strain NSP M-1 chromosome  complete genome,4589485,0,0,27278,.59,786,.01,27572,.60,294,0
NZ_CP011807.3,Pandoraea faecigallinarum strain DSM 23572 chromosome  complete genome,5241671,0,0,45725,.87,1278,.02,46117,.87,392,0
NZ_CP011828.1,Enterococcus faecium strain UW8175 chromosome  complete genome,2598959,0,0,14173,.54,3137,.12,16942,.65,2769,.10
NZ_CP011834.1,Limnohabitans sp. 103DPR2 chromosome  complete genome,2948795,0,0,11072,.37,539,.01,11611,.39,539,.01
NZ_CP011835.1,Azotobacter chroococcum strain B3 chromosome  complete genome,4575910,0,0,60604,1.32,1522,.03,61830,1.35,1226,.02
NZ_CP011849.2,Piscirickettsia salmonis LF-89 = ATCC VR-1361 chromosome  complete genome,3184851,0,0,35940,1.12,7173,.22,39101,1.22,3161,.09
NZ_CP011853.1,Gordonia phthalatica strain QH-11 chromosome  complete genome,4428727,0,0,59154,1.33,490,.01,59497,1.34,343,0
NZ_CP011854.1,Pseudomonas stutzeri strain SLG510A3-8 chromosome  complete genome,4650155,0,0,30281,.65,1155,.02,30918,.66,637,.01
NZ_CP011855.1,Spiroplasma atrichopogonis strain GNAT3597 chromosome  complete genome,1160484,0,0,22352,1.92,7210,.62,27296,2.35,4944,.42
NZ_CP011856.1,Spiroplasma eriocheiris strain DSM 21848 chromosome  complete genome,1365714,0,0,20866,1.52,8069,.59,26752,1.95,5886,.43
NZ_CP011860.1,Erysipelothrix rhusiopathiae strain G4T10 chromosome  complete genome,1770505,0,0,10823,.61,1103,.06,11632,.65,809,.04
NZ_CP011861.1,Erysipelothrix rhusiopathiae strain SE38 chromosome  complete genome,1778134,0,0,12112,.68,1005,.05,12945,.72,833,.04
NZ_CP011862.1,Pseudonocardia sp. AL041005-10 chromosome  complete genome,6143341,0,0,162277,2.64,2331,.03,163648,2.66,1371,.02
NZ_CP011868.1,Pseudonocardia sp. HH130629-09 chromosome  complete genome,6058802,0,0,148972,2.45,2113,.03,149707,2.47,735,.01
NZ_CP011913.1,Corynebacterium ulcerans FRC58 chromosome  complete genome,2542597,0,0,10344,.40,245,0,10589,.41,245,0
NZ_CP011929.1,Marinobacter sp. CP1 chromosome  complete genome,4768422,0,0,14173,.29,911,.01,14663,.30,490,.01
NZ_CP011939.1,Weizmannia coagulans strain S-lac chromosome  complete genome,3694837,0,0,20967,.56,2084,.05,22634,.61,1667,.04
NZ_CP011947.1,Haloferax gibbonsii strain ARA6 chromosome  complete genome,2945391,0,0,74003,2.51,737,.02,74101,2.51,98,0
NZ_CP011955.1,Xanthomonas oryzae pv. oryzicola strain B8-12 chromosome  complete genome,4794316,0,0,38146,.79,1697,.03,38784,.80,638,.01
NZ_CP011956.1,Xanthomonas oryzae pv. oryzicola strain BLS279 chromosome  complete genome,4790622,0,0,38652,.80,1649,.03,39388,.82,736,.01
NZ_CP011957.1,Xanthomonas oryzae pv. oryzicola strain BXOR1 chromosome  complete genome,4692590,0,0,36737,.78,1819,.03,37548,.80,811,.01
NZ_CP011958.1,Xanthomonas oryzae pv. oryzicola strain CFBP7331 chromosome  complete genome,5008292,0,0,37918,.75,1696,.03,38629,.77,711,.01
NZ_CP011959.1,Xanthomonas oryzae pv. oryzicola strain CFBP7341 chromosome  complete genome,5017766,0,0,37516,.74,1795,.03,38252,.76,736,.01
NZ_CP011960.1,Xanthomonas oryzae pv. oryzicola strain L8 chromosome  complete genome,4796527,0,0,38386,.80,1671,.03,39146,.81,760,.01
NZ_CP011961.1,Xanthomonas oryzae pv. oryzicola strain RS105 chromosome  complete genome,4779952,0,0,37996,.79,1770,.03,38732,.81,736,.01
NZ_CP011962.1,Xanthomonas oryzae pv. oryzicola strain CFBP2286 chromosome  complete genome,4969419,0,0,38058,.76,1523,.03,38695,.77,637,.01
NZ_CP011964.1,Bifidobacterium longum subsp. longum strain NCIMB8809 chromosome  complete genome,2340989,0,0,15923,.68,294,.01,16119,.68,196,0
NZ_CP011965.1,Bifidobacterium longum subsp. longum strain CCUG30698 chromosome  complete genome,2458004,0,0,15601,.63,294,.01,15748,.64,147,0
NZ_CP011968.1,Clostridioides difficile ATCC 9689 = DSM 1296 chromosome  complete genome,4109692,0,0,77896,1.89,17021,.41,90888,2.21,12992,.31
NZ_CP011972.2,Pseudomonas syringae pv. actinidiae ICMP 18884 chromosome  complete genome,6555569,0,0,24236,.36,1230,.01,24481,.37,245,0
NZ_CP011975.1,Yersinia aleksiciae strain 159 chromosome  complete genome,4000307,0,0,21175,.52,1907,.04,22008,.55,833,.02
NZ_CP011976.1,Klebsiella pneumoniae DMC1097 chromosome  complete genome,5393855,0,0,33893,.62,1029,.01,34628,.64,735,.01
NZ_CP011980.1,Klebsiella pneumoniae 500 1420  complete genome,5308211,0,0,34021,.64,1078,.02,34805,.65,784,.01
NZ_CP011995.1,Porphyromonas gingivalis strain A7436 chromosome  complete genome,2367029,0,0,10564,.44,931,.03,11348,.47,784,.03
NZ_CP011996.1,Porphyromonas gingivalis AJW4 chromosome  complete genome,2372492,0,0,10366,.43,784,.03,10954,.46,588,.02
NZ_CP012001.1,Pseudomonas aeruginosa DSM 50071 = NBRC 12689 strain DSM 50071 chromosome  complete genome,6317050,0,0,64767,1.02,1448,.02,65723,1.04,956,.01
NZ_CP012004.1,Acinetobacter baumannii strain ATCC 17978-mff chromosome  complete genome,3857743,0,0,21008,.54,4142,.10,24169,.62,3161,.08
NZ_CP012006.1,Acinetobacter baumannii strain Ab04-mff chromosome  complete genome,3935688,0,0,20519,.52,3898,.09,23607,.59,3088,.07
NZ_CP012011.1,Staphylococcus aureus strain HC1340 chromosome  complete genome,3046545,0,0,23219,.76,3677,.12,26107,.85,2888,.09
NZ_CP012012.1,Staphylococcus aureus strain HC1335 chromosome  complete genome,2976370,0,0,21276,.71,3733,.12,24089,.80,2813,.09
NZ_CP012013.1,Staphylococcus aureus strain Be62 chromosome  complete genome,2998480,0,0,23000,.76,3873,.12,25984,.86,2984,.09
NZ_CP012015.1,Staphylococcus aureus strain Gv51 chromosome  complete genome,2987124,0,0,22883,.76,3579,.11,25648,.85,2765,.09
NZ_CP012018.1,Staphylococcus aureus strain Gv88 chromosome  complete genome,2988028,0,0,22785,.76,3627,.12,25701,.86,2916,.09
NZ_CP012019.1,Legionella pneumophila subsp. pneumophila strain Toronto-20052 chromosome  complete genome,3573898,0,0,10690,.29,3040,.08,13140,.36,2450,.06
NZ_CP012020.1,Methylophilus sp. TWE2 chromosome  complete genome,3079044,0,0,7006,.22,515,.01,7521,.24,515,.01
NZ_CP012022.2,Corynebacterium pseudotuberculosis strain 262 chromosome  complete genome,2361125,0,0,9897,.41,245,.01,10093,.42,196,0
NZ_CP012026.1,Neisseria gonorrhoeae strain FA19 chromosome  complete genome,2232367,0,0,17021,.76,2292,.10,17707,.79,686,.03
NZ_CP012027.1,Neisseria gonorrhoeae strain FA6140 chromosome  complete genome,2168698,0,0,16942,.78,2742,.12,17653,.81,711,.03
NZ_CP012033.1,Levilactobacillus koreensis strain 26-25 chromosome  complete genome,3006812,0,0,12702,.42,491,.01,13144,.43,442,.01
NZ_CP012034.1,Companilactobacillus ginsenosidimutans strain EMML 3041 chromosome  complete genome,2590556,0,0,13655,.52,2280,.08,15714,.60,2059,.07
NZ_CP012037.1,Francisella tularensis subsp. tularensis strain WY96 chromosome  complete genome,1898140,0,0,14510,.76,2452,.12,16642,.87,2132,.11
NZ_CP012045.1,Streptococcus pyogenes strain HKU488 chromosome  complete genome,1943415,0,0,11797,.60,1598,.08,13169,.67,1372,.07
NZ_CP012046.1,Achromobacter xylosoxidans strain MN001 chromosome  complete genome,5876049,0,0,116172,1.97,1915,.03,117516,1.99,1344,.02
NZ_CP012066.1,Pseudomonas aeruginosa strain F9676 chromosome  complete genome,6368008,0,0,65514,1.02,1768,.02,66470,1.04,956,.01
NZ_CP012076.1,Bordetella hinzii strain F582 chromosome  complete genome,4912977,0,0,68372,1.39,1106,.02,68912,1.40,540,.01
NZ_CP012077.1,Bordetella hinzii strain H568 chromosome  complete genome,4859884,0,0,72317,1.48,1278,.02,72832,1.49,515,.01
NZ_CP012078.1,Bordetella pertussis strain H681 chromosome  complete genome,4105309,0,0,74983,1.82,1128,.02,75694,1.84,711,.01
NZ_CP012079.1,Bordetella pertussis strain H852 chromosome  complete genome,4105340,0,0,74262,1.80,1227,.02,74973,1.82,711,.01
NZ_CP012080.1,Bordetella pertussis strain I106 chromosome  complete genome,4102205,0,0,74430,1.81,1104,.02,75092,1.83,662,.01
NZ_CP012081.1,Bordetella pertussis strain I351 chromosome  complete genome,4108752,0,0,73762,1.79,932,.02,74277,1.80,515,.01
NZ_CP012082.1,Bordetella pertussis strain I743 chromosome  complete genome,4107480,0,0,73826,1.79,1055,.02,74386,1.81,560,.01
NZ_CP012083.1,Bordetella pertussis strain I751 chromosome  complete genome,4109556,0,0,75022,1.82,1128,.02,75733,1.84,711,.01
NZ_CP012084.1,Bordetella pertussis strain I976 chromosome  complete genome,4104251,0,0,73773,1.79,1080,.02,74307,1.81,534,.01
NZ_CP012085.1,Bordetella pertussis strain J010 chromosome  complete genome,4107382,0,0,75392,1.83,1128,.02,75980,1.84,588,.01
NZ_CP012086.1,Bordetella pertussis strain J013 chromosome  complete genome,4105333,0,0,75344,1.83,1103,.02,75928,1.84,584,.01
NZ_CP012087.1,Bordetella pertussis strain J038 chromosome  complete genome,4107443,0,0,75355,1.83,1055,.02,75894,1.84,539,.01
NZ_CP012088.1,Bordetella pertussis strain J107 chromosome  complete genome,4106377,0,0,75421,1.83,1055,.02,75911,1.84,490,.01
NZ_CP012089.1,Bordetella pertussis strain J169 chromosome  complete genome,4102567,0,0,73719,1.79,957,.02,74258,1.81,539,.01
NZ_CP012091.1,Salmonella enterica subsp. enterica serovar Typhi strain PM016 13 chromosome  complete genome,4793553,0,0,23602,.49,1597,.03,24435,.50,833,.01
NZ_CP012096.1,Serratia plymuthica strain 3Rp8 chromosome  complete genome,5546041,0,0,29808,.53,981,.01,30347,.54,539,0
NZ_CP012097.1,Serratia plymuthica strain 3Re4-18 chromosome  complete genome,5439574,0,0,29968,.55,908,.01,30458,.55,490,0
NZ_CP012099.1,Bacillus thuringiensis strain HS18-1 chromosome  complete genome,5292526,0,0,39355,.74,6055,.11,44275,.83,4920,.09
NZ_CP012109.1,Myxococcus hansupus strain contaminant ex DSM 436 chromosome  complete genome,9490432,0,0,92754,.97,3483,.03,94961,1.00,2207,.02
NZ_CP012111.1,Acetobacter pasteurianus strain Ab3 chromosome  complete genome,2806148,0,0,16763,.59,1133,.04,17155,.61,392,.01
NZ_CP012119.2,Staphylococcus aureus strain USA300 2014.C01 chromosome  complete genome,2917985,0,0,25200,.86,3333,.11,27920,.95,2720,.09
NZ_CP012120.2,Staphylococcus aureus strain USA300 2014.C02 chromosome  complete genome,2864345,0,0,27128,.94,3798,.13,30019,1.04,2891,.10
NZ_CP012122.1,Lactiplantibacillus plantarum strain LZ95 chromosome  complete genome,3261418,0,0,12991,.39,834,.02,13628,.41,637,.01
NZ_CP012128.1,Bordetella pertussis strain B203 chromosome  complete genome,4134643,0,0,76242,1.84,1006,.02,76855,1.85,613,.01
NZ_CP012129.1,Bordetella pertussis strain G057 chromosome  complete genome,4108471,0,0,75013,1.82,1129,.02,75724,1.84,711,.01
NZ_CP012130.1,Bordetella pertussis strain H639 chromosome  complete genome,4088698,0,0,74798,1.82,1006,.02,75411,1.84,613,.01
NZ_CP012131.1,Bordetella pertussis strain I150 chromosome  complete genome,4107430,0,0,75344,1.83,1177,.02,76000,1.85,656,.01
NZ_CP012132.1,Bordetella pertussis strain I187 chromosome  complete genome,4106507,0,0,75647,1.84,1129,.02,76354,1.85,707,.01
NZ_CP012133.1,Bordetella pertussis strain I259 chromosome  complete genome,4105353,0,0,74429,1.81,1104,.02,75091,1.82,662,.01
NZ_CP012134.1,Bordetella pertussis strain I464 chromosome  complete genome,4107433,0,0,75344,1.83,1177,.02,76000,1.85,656,.01
NZ_CP012135.1,Bordetella pertussis strain J014 chromosome  complete genome,4107409,0,0,75450,1.83,1079,.02,76036,1.85,586,.01
NZ_CP012136.1,Corynebacterium pseudotuberculosis strain E19 chromosome  complete genome,2367956,0,0,10015,.42,245,.01,10260,.43,245,.01
NZ_CP012144.1,Salmonella enterica subsp. enterica serovar Typhimurium strain FORC 020 chromosome  complete genome,4799793,0,0,23422,.48,1201,.02,24304,.50,882,.01
NZ_CP012145.1,Xanthomonas campestris pv. campestris strain ICMP 21080 chromosome  complete genome,4911121,0,0,50561,1.02,2457,.05,51247,1.04,686,.01
NZ_CP012146.1,Xanthomonas campestris pv. campestris strain ICMP 4013 chromosome  complete genome,4908383,0,0,51385,1.04,2309,.04,52096,1.06,711,.01
NZ_CP012147.1,Leptospirillum sp. Group II 'CF-1' chromosome  complete genome,2709324,0,0,8457,.31,637,.02,8800,.32,343,.01
NZ_CP012148.1,Lacticaseibacillus paracasei strain L9 chromosome  complete genome,3076437,0,0,10929,.35,540,.01,11419,.37,490,.01
NZ_CP012153.2,Francisella orientalis strain FNO01 chromosome  complete genome,1862440,0,0,13748,.73,2751,.14,15708,.84,1960,.10
NZ_CP012165.1,Enterobacter hormaechei subsp. xiangfangensis strain 34978 chromosome  complete genome,4930963,0,0,24751,.50,1306,.02,25486,.51,735,.01
NZ_CP012167.1,Enterobacter hormaechei subsp. steigerwaltii strain 34998 chromosome  complete genome,4688189,0,0,25848,.55,662,.01,26289,.56,441,0
NZ_CP012172.1,Metallosphaera sedula strain ARS50-1 chromosome  complete genome,2191533,0,0,7552,.34,932,.04,8091,.36,539,.02
NZ_CP012173.1,Metallosphaera sedula strain ARS50-2 chromosome  complete genome,2191529,0,0,7552,.34,932,.04,8091,.36,539,.02
NZ_CP012174.1,Metallosphaera sedula strain ARS120-1 chromosome  complete genome,2191531,0,0,7552,.34,957,.04,8067,.36,515,.02
NZ_CP012175.1,Metallosphaera sedula strain ARS120-2 chromosome  complete genome,2191533,0,0,7552,.34,932,.04,8091,.36,539,.02
NZ_CP012176.1,Metallosphaera sedula strain SARC-M1 chromosome  complete genome,2191533,0,0,7552,.34,932,.04,8091,.36,539,.02
NZ_CP012179.1,Pseudomonas syringae pv. actinidiae ICMP 18708 chromosome  complete genome,6555571,0,0,24236,.36,1279,.01,24481,.37,245,0
NZ_CP012181.1,Pseudonocardia sp. EC080610-09 chromosome  complete genome,6138223,0,0,161908,2.63,2184,.03,162741,2.65,833,.01
